"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YER188W",22.799592143163,-2.20371198792004,0.72034893729976,-3.05922848471283,0.00221907835426906,0.0078461300978642
"YFR015C",233.653035300589,-2.20268413927444,0.281618075214703,-7.82152969973655,5.21852554271399e-15,1.9045867047838e-13
"YOR190W",64.1290229310964,-2.19240949705346,0.432613851782412,-5.06782084766937,4.02395860736667e-07,3.81224510572473e-06
"YGL081W",18.4124198747197,-2.19146794338646,0.775476355570214,-2.82596358695561,0.00471386222813851,0.0149034783701263
"YFR053C",505.712029821546,-2.18840258721562,0.242737046238853,-9.01552779488892,1.95924733371876e-19,1.19712213491715e-17
"YDR350C",318.933933786154,-2.18379549559042,0.255733709281706,-8.53933375355234,1.34997931660255e-17,6.73503442539878e-16
"YNL173C",136.942815805216,-2.18281532843157,0.317779638276446,-6.868959069469,6.46720569077632e-12,1.54928037649523e-10
"YDL124W",676.717636225289,-2.17128274303311,0.208280912216089,-10.4247802639756,1.91100541269626e-25,2.12082600698821e-23
"YJL116C",46.8186744860621,-2.16587267610291,0.494023031112115,-4.38415324732376,1.16437787471386e-05,7.90497738164044e-05
"YDL078C",359.559293648213,-2.16452082806714,0.236291972393368,-9.16036548403659,5.17218436105122e-20,3.27050448318564e-18
"YFR022W",138.794990465344,-2.16026223486904,0.322887187088628,-6.69045512256908,2.22477580168837e-11,4.87835919741183e-10
"YLR329W",33.5840891851624,-2.15652635282462,0.584341925047259,-3.69052135468495,0.00022379489931556,0.0010904988015036
"YIR028W",30.3894776180525,-2.15229619527837,0.597421989838842,-3.6026397285091,0.000315001975397477,0.00147925798118435
"YPR007C",16.802378543594,-2.151171721237,0.785723684070774,-2.73782216935595,0.00618475090370848,0.0187997067715856
"YJL185C",59.2282008675397,-2.15063606220234,0.46285247926406,-4.64648275325624,3.37642347351805e-06,2.58970251748817e-05
"YLR345W",166.697735553028,-2.14848312550538,0.31434433638487,-6.83480781048612,8.21150404077228e-12,1.94148517277042e-10
"YGR052W",27.4092180577967,-2.1400695383169,0.686257028285218,-3.11846647846273,0.00181794820557358,0.00661713677503958
"YHR097C",106.178816521604,-2.13944540928881,0.350114401645341,-6.11070381348102,9.91927087059586e-10,1.62963731100605e-08
"YDL022W",784.280479696534,-2.13828390358086,0.203128737913049,-10.5267424272393,6.50466677950608e-26,7.86052843265646e-24
"YGL179C",81.1195728633781,-2.12795560574547,0.387428271710361,-5.49251503085019,3.96249814798783e-08,4.88625031468001e-07
"YOR368W",167.544803812784,-2.12771329731253,0.312018291144548,-6.81919412322797,9.15526206994081e-12,2.12762030497171e-10
"YDR506C",54.7198794002043,-2.11929005392527,0.476136779873748,-4.45101101932772,8.54669555978768e-06,5.99702328440328e-05
"YJL043W",15.0301770434799,-2.11036614758307,0.826161496321089,-2.55442326588756,0.0106363871104681,0.0300003491217455
"YJL153C",54.1265098771225,-2.10833666311209,0.459030077672269,-4.59302508847224,4.36866518163764e-06,3.27680017348214e-05
"YPR001W",60.0678147805189,-2.10574226050313,0.443271583717763,-4.75045623913461,2.02958213843609e-06,1.66217886578546e-05
"YLR251W",93.0503771458672,-2.10119979493017,0.385182932380556,-5.45506983381654,4.89536027248163e-08,5.83793183371822e-07
"YOL101C",79.0363975882405,-2.08314410697762,0.3957776428963,-5.26342036839971,1.41399767551276e-07,1.4704568030824e-06
"YIL155C",65.522054097854,-2.07463863347529,0.47526719581162,-4.36520477693059,1.27003724357449e-05,8.59012752556977e-05
"YIR034C",157.168159711973,-2.0660080494197,0.322467240357075,-6.40687732227302,1.48530234079792e-10,2.80453962821497e-09
"YBR183W",149.591839915677,-2.06566861619087,0.339029631113971,-6.09288518352679,1.10893601504532e-09,1.80011762681089e-08
"YJR154W",34.7319765372146,-2.06200187332544,0.562053640318891,-3.66869231939415,0.000243794266111692,0.00117531313751364
"YLR286C",1661.85292968931,-2.06196164523007,0.223332120492892,-9.23271422256387,2.63859337336759e-20,1.70817509099678e-18
"YER072W",896.379967676606,-2.04955673787682,0.236284743117265,-8.67409681572058,4.16845571998806e-18,2.1384964344618e-16
"YIL164C",47.8422036589591,-2.04336947036895,0.465511455062131,-4.38951490483993,1.1360379231487e-05,7.73188263589818e-05
"YEL011W",229.789482242307,-2.04123789146154,0.269781055128416,-7.56627588430888,3.84075919278751e-14,1.19348848516448e-12
"YER088C",659.978599797443,-2.03610491273771,0.211516863188909,-9.62620607189712,6.1975551958461e-22,4.49364068733481e-20
"YHL008C",118.7352773907,-2.03464728124206,0.332390243521845,-6.12126053906978,9.2837958506423e-10,1.53539683289362e-08
"YDR074W",1280.06586470331,-2.02941083617977,0.20138532906205,-10.077252626255,6.96462735721912e-24,6.31227392809293e-22
"YER119C",277.696495479542,-2.01864055832488,0.260659564669389,-7.74435636338628,9.60672254951844e-15,3.28561995121266e-13
"YGR130C",291.034401912558,-2.00742377946846,0.246122486308664,-8.15619819861131,3.45734925822064e-16,1.41361392978976e-14
"YLL060C",70.3985505346526,-1.99960609963083,0.4170953374107,-4.79412239907608,1.63388499106699e-06,1.36274027322428e-05
"YBR093C",2373.6939418338,-1.99883964596291,0.191611826215573,-10.4317133521504,1.77655555072393e-25,2.05551257124185e-23
"YBR013C",45.1560896161209,-1.99819979375111,0.480347298323531,-4.15990638591092,3.1837806194484e-05,0.00019497070955586
"YJL012C",2088.52793466283,-1.99781859641954,0.186693876692222,-10.7010397545768,1.00642501469405e-26,1.397526283371e-24
"YHR067W",56.5789802883764,-1.99485311712572,0.49201863923188,-4.05442590597788,5.02575766933641e-05,0.000294188053884299
"YLR400W",21.4436009922194,-1.99018863716591,0.705820836815313,-2.81967963165512,0.00480716166571246,0.0151808043775519
"YDR481C",1035.770011501,-1.98774947660116,0.205417794734291,-9.67661773982303,3.79048669997049e-22,2.86287037144994e-20
"YMR114C",40.7915412157714,-1.97076252323113,0.528920040743313,-3.72601219734751,0.000194532994601311,0.000963452117160227
"YPL264C",45.2433961215612,-1.97005405108399,0.508914031893009,-3.8710939915647,0.000108348001648461,0.000571480536337857
