GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YJL133C-A,12.23077307,-2.903067819,0.866514638,-3.350281337,0.000807295,0.014099778
YDR481C,146.087011,-2.848637656,0.33767638,-8.43599916,3.28E-17,1.43E-14
YML128C,13.6391147,-2.821808561,0.832613395,-3.389098202,0.000701229,0.012567174
YJR010W,9.697990782,-2.804744405,0.961664424,-2.916552109,0.003539236,0.042391398
YGR286C,13.55360025,-2.800506132,0.848546997,-3.300354775,0.000965627,0.016242584
YMR262W,7.954265631,-2.796476607,1.048979327,-2.665902498,0.007678196,0.075415899
YDL130W-A,19.52358705,-2.699681936,0.717712506,-3.761508839,0.000168891,0.004159271
YLR345W,11.60237838,-2.653504792,0.855389645,-3.102100671,0.001921526,0.027467528
YBR026C,37.47483438,-2.650655522,0.526938234,-5.030296438,4.90E-07,2.87E-05
YBR067C,213.4202535,-2.639087547,0.387808739,-6.805126546,1.01E-11,1.56E-09
YBR022W,7.551990664,-2.638371753,1.043218076,-2.529070204,0.011436515,0.09879421
YOR317W,191.4116419,-2.625241436,0.304505656,-8.621322402,6.62E-18,3.18E-15
YMR196W,22.07983804,-2.608501711,0.645470975,-4.041237815,5.32E-05,0.001557162
YDL054C,21.83461726,-2.588022718,0.648856399,-3.988590886,6.65E-05,0.001817042
YBR046C,25.05622763,-2.573486675,0.604234609,-4.259085192,2.05E-05,0.000689433
YHL028W,12.99858604,-2.567843986,0.861827432,-2.979533826,0.002886874,0.036202751
YDL008W,11.16533162,-2.552539346,0.867757728,-2.941534558,0.003265904,0.039940219
YER119C,28.12820644,-2.535208299,0.619461201,-4.092602241,4.27E-05,0.001295706
YMR250W,26.80803141,-2.520579192,0.603005464,-4.180027118,2.91E-05,0.000933301
YLL019C,14.66988683,-2.492466634,0.757852241,-3.288855661,0.001005956,0.016754603
YBR241C,12.70156005,-2.462320831,0.8389756,-2.93491352,0.003336407,0.040466568
YCL040W,191.2368053,-2.447824447,0.312567184,-7.831354577,4.83E-15,1.16E-12
YOR185C,18.40664423,-2.404898977,0.679054861,-3.541538563,0.000397801,0.008061759
YIR034C,26.8231628,-2.399440314,0.598838765,-4.006821961,6.15E-05,0.001708569
YLR290C,12.20864428,-2.398367523,0.816405678,-2.937715387,0.003306404,0.0402042
